,region_center_ap,region_id,survival_days,sex,paxinos_flatmap_x,id,display_name,title,section,case_id,section_y,section_x,status,a,region_name,memo,hemisphere,injection_id,flatmap_y,flatmap_x,dob,h,region,l,case_memo,paxinos_flatmap_y,action,perfusion_date,injection_date,tracer
21,-17.5,2653,7.0,M,,142,CJ800,cj800-fb-r9b,r9b,CJ800,9.211741,17.35913,Active,17.0,"Area 47 (old 12) of cortex, lateral part","The FB injection was small and restricted to the supragranular layers. It was centred in the rostral part of area 47L. The injection ""halo"" may have invaded area 8aV, but the absence of label in visual cortex suggested that this was not part of the effective injection site.",R,CJ800-FB,-2.00808238983154,-14.6588687896729,2013-11-16,12.8,A47L(12L),6.0,"This animal had 4 injections in the frontal lobe. The cytoarchitectural analysis used the NeuN stain. The results in this case are not particularly clear at low power due to low differentiation, but the stain was successful and cytoarchitectural features can be analysed at high magnification. ",,https://www.marmosetbrain.org/goto/CJ800/r9b/17.35913/9.211741/3,2016-08-22,2016-08-15,FB
22,-17.5,2653,,M,-15.22,262,CJ213,cj213-ctbr-r9a,r9a,CJ213,8.959861,17.673632,Hidden,16.914,"Area 47 (old 12) of cortex, lateral part","The CTBr injection was largely contained in the rostral part of area 47L (12L). Invasion of area 8aV, if occurred, was only in the infragranular layers. near its caudal end.",L,CJ213-CTBr,-1.12952251216972,-14.2404811112614,2016-12-15,12.095,A47L(12L),5.675,"This animal had 4 injections, including 2 in the ventrolateral prefrontal cortex and 2 in somatomotor cortex",-1.7199999999999989,https://www.marmosetbrain.org/goto/CJ213/r9a/17.673632/8.959861/3,2021-05-18,2021-05-03,CTBr
23,-17.5,2653,,M,-14.8,265,CJ213,cj213-dy-r10b,r10b,CJ213,9.099216,19.545062,Hidden,16.809,"Area 47 (old 12) of cortex, lateral part",The DY injection was contained in the rostral part of area 47l(12l). Possible encroachment into area 8aV by the halo was minimal if existent.,L,CJ213-DY,-0.491492609012535,-13.7685212338059,2016-12-15,11.828,A47L(12L),6.924,"This animal had 4 injections, including 2 in the ventrolateral prefrontal cortex and 2 in somatomotor cortex",-0.879999999999999,https://www.marmosetbrain.org/goto/CJ213/r10b/19.545062/9.099216/3,2021-05-18,2021-05-03,DY
24,-17.5,2653,14.0,M,-14.02,365,CJ73NM,cj73nm-fe-r11b,r11b,CJ73NM,13.143513,21.239574,Hidden,15.997,"Area 47 (old 12) of cortex, lateral part",FE injection centred in area 47L (12L). Likely involvement of the supragranular layers of area 45.,R,CJ73NM-FE,0.422166425764035,-13.0860648896918,2005-10-15,10.692,A47L(12L),7.642,This animal was part of a study on the connections of the rostral prefrontal cortex. It had 4 tracer injections. ,0.4400000000000013,https://www.marmosetbrain.org/goto/CJ73NM/r11b/21.239574/13.143513/3,2007-03-27,2007-03-13,FE
25,-17.5,2653,14.0,M,,190,CJ73,cj73x-fe-r11b,r11b,CJ73X,13.143513,21.239574,Active,15.9,"Area 47 (old 12) of cortex, lateral part","FE injection centred in area 47L (12L). The presence of label in extrastriate cortex suggests involvement of cytoarchitectural area 45, which in marmosets is part of the putative frontal eye field (Reser et al. 2013;  Cereb Cortex  23:1901–1922).",R,CJ73-FE,0.624717652797699,-13.7394495010376,2005-10-15,10.6,A47L(12L),8.0,This animal was part of a study on the connections of the rostral prefrontal cortex. It had 4 tracer injections. ,,https://www.marmosetbrain.org/goto/CJ73X/r11b/21.239574/13.143513/3,2007-03-27,2007-03-13,FE
26,-17.5,2653,,F,-13.18,348,CJ227,cj227-dy-r7b,r7b,CJ227,11.290171,10.259361,Hidden,14.876,"Area 47 (old 12) of cortex, lateral part","The DY injection was largely restricted to the caudal part of area 47 lateral (47L), with possible small involvement of area 45.",L,CJ227-DY,1.21037754463253,-12.4056589278672,,9.932,A47L(12L),7.984,"This animal had 4 tracer injections, but one (CTBg) did not result in long-distance label. There were some problems during the sectioning, resulting in the rostral block not being sectioned exactly in the coronal plane.",1.2200000000000024,https://www.marmosetbrain.org/goto/CJ227/r7b/10.259361/11.290171/3,,,DY
27,-17.0,2646,7.0,M,-16.060000000000002,377,CJ800NM,cj800nm-dy-r8a,r8a,CJ800NM,9.235386,14.5531,Hidden,17.923,"Area 46 of cortex, dorsal part",The DY injection crossed from dorsal area 46 (46D) into area 10.,R,CJ800NM-DY,-2.77475661228427,-15.6604715658556,2013-11-16,12.533,A46D,3.114,"This animal had 4 injections in the frontal lobe. The cytoarchitectural analysis used the NeuN stain. The results in this case are not particularly clear at low power due to low differentiation, but the stain was successful and cytoarchitectural features can be analysed at high magnification. ",-3.8199999999999985,https://www.marmosetbrain.org/goto/CJ800NM/r8a/14.5531/9.235386/3,2016-08-22,2016-08-15,DY
28,-17.0,2651,,F,-16.2,239,CJ204R,cj204r-fb-r4a,r4a,CJ204R,8.76063,4.07785,Hidden,17.9,Area 9 of cortex,The FB injection was entered on the border between areas 9 and 32. The pattern of label was very similar to that revealed by other injections in area 9,L,CJ204R-FB,-4.4552350054364,-16.7398187232995,,12.5,A9,0.6,,-6.0,https://www.marmosetbrain.org/goto/CJ204R/r4a/4.07785/8.76063/3,,,FB
29,-17.0,2651,14.0,M,,213,CJ205,cj205-ctbr-r5b,r5b,CJ205,9.428643,13.334747,Hidden,17.8,Area 9 of cortex,"The CTB-red injection was in medial prefrontal cortex, centred in area 9 but with some involvement of the dorsal part of area 32 long the midline. The pattern of label was very similar to that revealed by another area 9 injection (CJ70-FB), in terms of main regions of cortical label, but included additional label in the caudal orbitofrontal cortex and anterior insular cortex.
",L,CJ205-CTBr,-5.5537543296814,-16.7976894378662,2016-10-25,12.0,A9,0.5,This animal had 4 effective injections.,,https://www.marmosetbrain.org/goto/CJ205/r5b/13.334747/9.428643/3,2020-06-15,2020-06-01,CTBr
30,-17.0,2666,17.0,M,-17.38,370,CJ181NM,cj181nm-ctbr-r3d,r3d,CJ181NM,10.07573,6.65257,Hidden,17.705,Area 11 of cortex,The CTB-red injection was restricted to area 11 of the rostral orbitofrontal cortex. There was no noticeable leakage up the track into dorsolateral prefrontal cortex.,R,CJ181NM-CTBr,-0.346262547993663,-16.6633880841909,2014-09-26,10.968,A11,3.459,"This animal had 2 sets of injections, in the prefrontal cortex and temporal lobe.",-1.0,https://www.marmosetbrain.org/goto/CJ181NM/r3d/6.65257/10.07573/3,2016-12-15,2016-11-28,CTBr
31,-17.0,2646,7.0,M,,143,CJ800,cj800-dy-r8a,r8a,CJ800,9.235386,14.5531,Active,17.6,"Area 46 of cortex, dorsal part","The DY injection was small, and restricted to area 46 dorsal (46D).",R,CJ800-DY,-3.7579939365387,-15.7256469726563,2013-11-16,12.8,A46D,3.0,"This animal had 4 injections in the frontal lobe. The cytoarchitectural analysis used the NeuN stain. The results in this case are not particularly clear at low power due to low differentiation, but the stain was successful and cytoarchitectural features can be analysed at high magnification. ",,https://www.marmosetbrain.org/goto/CJ800/r8a/14.5531/9.235386/3,2016-08-22,2016-08-15,DY
32,-17.0,2647,,M,-15.280000000000001,350,CJ214,cj214-ctbr-r4b,r4b,CJ214,9.303328,13.44899,Hidden,17.406,"Area 46 of cortex, ventral part","The CTBr injection was located primarily in the lateral part of area 46V. The borders of areas in this region follow a complex trajectory, so invasion of the rostral part of area 47L (12L) is likely.",L,CJ214-CTBr,-1.71904847777433,-14.7226519991163,2016-12-27,12.454,A46V,4.842,"This animal had 4 good injections, 2 in prefrontal cortex (CTBr and DY), 1 in posterior parietal cortex (CTBg) and 1 in visual area MT (FB)",-2.5,https://www.marmosetbrain.org/goto/CJ214/r4b/13.44899/9.303328/3,2021-07-13,2021-06-28,CTBr
33,-17.0,2666,17.0,M,,134,CJ181,cj181-ctbr-r3d,r3d,CJ181,10.07573,6.65257,Active,17.3,Area 11 of cortex,The CTB-red injection was restricted to area 11 of the rostral orbitofrontal cortex. There was no noticeable leakage up the track into dorsolateral prefrontal cortex.,R,CJ181-CTBr,-1.35812592506409,-17.4608345031738,2014-09-26,11.0,A11,3.6,"This animal had 2 sets of injections, in the prefrontal cortex and temporal lobe.",,https://www.marmosetbrain.org/goto/CJ181/r3d/6.65257/10.07573/3,2016-12-15,2016-11-28,CTBr
34,-17.0,2646,20.0,F,,165,CJ801,cj801-dy-r4d,r4d,CJ801,8.608553,7.228651,Active,17.2,"Area 46 of cortex, dorsal part","DY injection centred in area 46D (dorsal), involving all layers.",R,CJ801-DY,-4.26860284805298,-15.4165897369385,2013-11-10,13.0,A46D,2.7,This animal had 3 effective injections in the frontal cortex. There was also a failed attempt to inject area 11 with CTB-red (track visible in section r6c).,,https://www.marmosetbrain.org/goto/CJ801/r4d/7.228651/8.608553/3,2017-05-10,2017-04-20,DY
35,-17.0,2651,11.0,M,,192,CJ70,cj70x-fb-r8a,r8a,CJ70X,9.589848,14.412544,Active,17.1,Area 9 of cortex,FB injection restricted to area 9 (caudal part).,R,CJ70-FB,-5.92781591415405,-15.3881711959839,2004-12-03,13.15,A9,1.0,"This animal was part of a study on the connections of prefrontal cortex. It received 4 injections, but the FE injection in the rostral part of area 47L resulted in too few labeled neurones, hence not being suitable for quantitative analyses. ",,https://www.marmosetbrain.org/goto/CJ70X/r8a/14.412544/9.589848/3,2006-04-10,2006-03-30,FB
36,-16.5,2654,,F,-15.04,346,CJ227,cj227-ctbr-r6d,r6d,CJ227,10.807971,8.01278,Hidden,15.573,"Area 47 (old 12) of cortex, medial part",The CTB-red injection was centred on area 47 medial (47M) but likely also involved parts of area 47 lateral (47L).,L,CJ227-CTBr,0.936548554791755,-14.5265042217706,,10.935,A47M(12M),5.642,"This animal had 4 tracer injections, but one (CTBg) did not result in long-distance label. There were some problems during the sectioning, resulting in the rostral block not being sectioned exactly in the coronal plane.",0.5600000000000023,https://www.marmosetbrain.org/goto/CJ227/r6d/8.01278/10.807971/3,,,CTBr
37,-16.0,2657,18.0,F,,149,CJ178,cj178-dy-r6a,r6a,CJ178,9.412339,3.600555,Active,16.0,Area 32 of cortex,"The DY injection in medial frontal cortex was well centred in area 32. The extent of the injection halo suggests that there may have been a slight contamination of area 8b, but the pattern of label does not reveal widespread intrinsic connections within the latter area.",R,CJ178-DY,-7.3696608543396,-15.8779602050781,2014-07-06,11.7,A32,0.9,"This animal was part of a study of prefrontal cortex connections, but also had an attempted injection in the peripheral representation of V1.",,https://www.marmosetbrain.org/goto/CJ178/r6a/3.600555/9.412339/3,2016-10-21,2016-10-03,DY
38,-16.0,2658,10.0,F,,175,CJ148R,cj148r-dy-r6a,r6a,CJ148R,10.891245,4.807842,Active,16.0,"Area 32 of cortex, ventral part",The DY injection was very restricted and left no tracer leakage up the track. It was well centred in area 32V (also known as area 10mc; e.g. as in Burman and Rosa 2009; J Comp Neurol 514:11–29).,L,CJ148R-DY,-8.61171817779541,-16.9978904724121,2012-12-11,10.0,A32V,0.6,This case had a single successful injection in the right hemisphere (DY).,,https://www.marmosetbrain.org/goto/CJ148R/r6a/4.807842/10.891245/3,2014-07-24,2014-07-14,DY
39,-16.0,2657,,F,-14.68,349,CJ227,cj227-ctbgr-r7a,r7a,CJ227,9.314979,3.721539,Hidden,15.12,Area 32 of cortex,"The CTB-green injection was largely ineffective, labelling only local connections. It was located in th caudal most part of area 32.",L,CJ227-CTBgr,-7.07772500715198,-15.2194828425917,,12.565,A32,0.602,"This animal had 4 tracer injections, but one (CTBg) did not result in long-distance label. There were some problems during the sectioning, resulting in the rostral block not being sectioned exactly in the coronal plane.",-7.659999999999998,https://www.marmosetbrain.org/goto/CJ227/r7a/3.721539/9.314979/3,,,CTBgr
40,-15.5,2648,,M,-14.440000000000001,352,CJ214,cj214-dy-r5c,r5c,CJ214,8.983143,11.834334,Hidden,16.514,"Area 8a of cortex, dorsal part","The DY injection was centred in area 8aD, with no apparent invasion of adjacent areas",L,CJ214-DY,-3.40510376880624,-14.2774187471833,2016-12-27,13.153,A8aD,3.421,"This animal had 4 good injections, 2 in prefrontal cortex (CTBr and DY), 1 in posterior parietal cortex (CTBg) and 1 in visual area MT (FB)",-4.18,https://www.marmosetbrain.org/goto/CJ214/r5c/11.834334/8.983143/3,2021-07-13,2021-06-28,DY
41,-15.5,2648,,F,-14.1,241,CJ204R,cj204r-ctbgr-r6c,r6c,CJ204R,8.453102,5.851065,Hidden,16.5,"Area 8a of cortex, dorsal part","The CTB green injection was located in the rostral part of area 8aD, away from both areas 8b and 8aV. The border region with area 46D was approached, but involvement of the latter is unlikely. ",L,CJ204R-CTBgr,-3.68042651998407,-14.2479517856172,,13.4,A8aD,3.2,,-4.4,https://www.marmosetbrain.org/goto/CJ204R/r6c/5.851065/8.453102/3,,,CTBgr
42,-15.5,2648,7.0,M,-14.68,374,CJ800NM,cj800nm-ctbr-r12a,r12a,CJ800NM,8.871598,15.036162,Hidden,16.494,"Area 8a of cortex, dorsal part","The CTB-red was centred in cytoarchitectural area 8aD, and involved all layers. Part of the halo may have included the lower layers of area 46D.",R,CJ800NM-CTBr,-3.1227219951341,-14.2790277175114,2013-11-16,12.893,A8aD,3.678,"This animal had 4 injections in the frontal lobe. The cytoarchitectural analysis used the NeuN stain. The results in this case are not particularly clear at low power due to low differentiation, but the stain was successful and cytoarchitectural features can be analysed at high magnification. ",-3.9399999999999995,https://www.marmosetbrain.org/goto/CJ800NM/r12a/15.036162/8.871598/3,2016-08-22,2016-08-15,CTBr
43,-15.5,2648,7.0,M,,141,CJ800,cj800-ctbr-r12a,r12a,CJ800,8.871598,15.036162,Active,16.3,"Area 8a of cortex, dorsal part","The CTB-red was centred in cytoarchitectural area 8aD, and involved all layers with no apparent invasion of adjacent areas.",R,CJ800-CTBr,-3.92061758041382,-14.222484588623,2013-11-16,13.2,A8aD,3.1,"This animal had 4 injections in the frontal lobe. The cytoarchitectural analysis used the NeuN stain. The results in this case are not particularly clear at low power due to low differentiation, but the stain was successful and cytoarchitectural features can be analysed at high magnification. ",,https://www.marmosetbrain.org/goto/CJ800/r12a/15.036162/8.871598/3,2016-08-22,2016-08-15,CTBr
44,-15.5,2648,11.0,M,,193,CJ70,cj70x-fr-r10a,r10a,CJ70X,10.142223,17.752667,Active,16.0,"Area 8a of cortex, dorsal part",The FR injection was located in the rostral part of frontal area 8aD. This injection was part of the study published by Reser et al. 2013 (Cereb Cortex  23:1901–1922).,R,CJ70-FR,-3.78530359268188,-13.8477458953857,2004-12-03,12.9999994636,A8aD,4.0,"This animal was part of a study on the connections of prefrontal cortex. It received 4 injections, but the FE injection in the rostral part of area 47L resulted in too few labeled neurones, hence not being suitable for quantitative analyses. ",,https://www.marmosetbrain.org/goto/CJ70X/r10a/17.752667/10.142223/3,2006-04-10,2006-03-30,FR
45,-15.5,2648,14.0,M,,215,CJ205,cj205-dy-r10b,r10b,CJ205,8.335299,16.750668,Hidden,16.0,"Area 8a of cortex, dorsal part","The DY injection was centred in dorsolateral prefrontal area 8aD. This was the largest 8aD injection, and its halo is likely to have invaded area 8aV. This has revealed additional labeled regions compared to other injections in 8aD. 
",L,CJ205-DY,-4.09376525878906,-13.8571720123291,2016-10-25,13.4,A8aD,3.95,This animal had 4 effective injections.,,https://www.marmosetbrain.org/goto/CJ205/r10b/16.750668/8.335299/3,2020-06-15,2020-06-01,DY
46,-15.5,2648,,F,,237,CJ205CB,cj205cb-dy-c7b,c7b,CJ205CB,6.4645628,14.7390196,Hidden,16.0,"Area 8a of cortex, dorsal part",,L,CJ205CB-DY,-5.61435985565186,9.42521572113037,,13.4,A8aD,3.95,,,https://www.marmosetbrain.org/goto/CJ205CB/c7b/14.7390196/6.4645628/3,,,DY
